あか中2年山内彩花です！ フォローよろしくお願いします
女てにお疲れ様です笑 最高に寒かったね😂
@ayapeco0222 準優勝！！ふぁいと👍👍  いろいろと、ありがとね💗
RT @manaloveduffy: @ayapeco0222  お誕生日おめでとう🎂🎉しょうがないから、お祝いしてあげる٩( ᐛ )و 面白くて、髪の毛鳥の巣で、前髪であごな山内が好き❤ これからもあごのばしてね🌟 素敵な一年になりますように💕 https://t.co/vD…
@manaloveduffy まじほとんどdisってるじゃん(笑)でもありがとう❤好き❤❤
@3jsb04yui10 みすみありがとう👏🎈わたしも直接は三角が一番かも❤❤あそぼうね！！！
@hgwr_122 アリオに集合かけちゃう？？💩💩
@donald_carp まほちゃん❤ありがとう！！！
@PB0hoTDBc845RIK しらな(笑)(笑)(笑)
@shineejuni 南町田なくなったから町田やね👏計画たてよ！！
@vNyNNjkMHKbzqoc 春シュンちゃん☀わざわざありがとう！！
@PB0hoTDBc845RIK 賀川の乱用爆笑
@001129_tomo ふぁむふぁむありがとう！！👏いや池谷最&amp;高だわ(笑)遊ぼう！！
@yui38ars やぎゆいありがとう～😆❤わたしもお話ししたい！こんどしようね！！
@yuusukehasshi はっしーありがとう⚡来年度あか中仲間増えるといいね(笑)
@0084sone デートの誘い＝ポテト要求
@_____r_____o るかちゃん！！わざわざありがとう～😻
@moritakedayo1 え？山内誕生日だよ？ありがとう！！
@ARISAMOCO ありさありがとう❤❤わたしもらぶらぶ😍
@aya_no_3jsb あやのちゃんありがとう😍❤嬉しかった！！あやのちゃん大好き！！！！
@0107__miyu みゆうありがとう🙏❤嬉しい！！
@hgwr_122 みんな日にちがあうかな(笑)(笑)(笑)
@09_take_29 竹内ありがとう😆最近は後ろ髪がやばめです👴👴わたしも大好き！！
@haruna_cy わたしも祝ってもらえて嬉しい！ありがとう😁💞
RT @0084sone: １週間山内と２人で掃除頑張ったん(＞∀＜)
@0084sone よく頑張ったねほんと( ；∀；)
@0084sone ほんと私たちできる子👏これまた打ち上げしなきゃ
@0084sone さらに優等生極めた しーすー行きたい🍣
@0084sone 来年は生徒会コースwwwww テスト頑張っちゃお💮
@0084sone 自惚れ上等だわ(笑)
@riiiiin_flower ねえおつかれ！！！
大樹くんが青のカラコンしててただただしんどい😹😹なにするの無理～～好き
ついに3月だってさ！！2月短すぎ(笑)(笑)
RT @iam_keiji: WILD WILD WARRIORS サプライズで 登場した タイキ  タイキちゃん フラッグぐるんぐるん  ライブ中の写真はEXILE mobileで https://t.co/YgqRaUiPam https://t.co/el0cUCDKjm
大樹くんと啓司さんやばい生きていける
@2403yuna ひなまつり🎎お誕生日おめでとう🎉❤よく朝会うね(笑)ずっといってるけどテニス部で集まろ今度こそ👊良い１年にしてね🌹
@2403yuna え！嘘！！それは本当に申し訳ない😹😹さがす！！！
RT @2403yuna: @ayapeco0222   あやかお誕生日おめでとう〜！！ さっき国線で見かけたんだけどおめでとう言えなかったごめん😂  そろそろ女てにで集まりたい！！！
@2403yuna 見事にスルーしてたわたしひどすぎごめんね💩💧ありがとう！！！
@Ooo___ui かわいいかわいい圧倒的JK
もう今日は勉強しないで寝ても良いかな～とか思い始めた
@ygmhr めちゃきゃわたんなはるるんお誕生日おめでとう～👏❤
@masatoshi136 平岡くんお誕生日おめでとう～👏🎉
ねえ聞いて！夢の中でわたし飛んだんだけどすごくない？？？(笑)
@masatoshi136 めっちゃ高くまであがったから着地超痛かった😿(あくまで夢の中
@manaloveduffy ほんと助かった感謝🙏🙏🙏
@_mymy38 まいちゃんお誕生日おめでたい👏来年世界史なん？日本史なん？それとも理系なん？(笑)おしゃれなとこつれてって🙏❤良い１年にしてね！！！
@aina20950 あいな！！！！ラーメン博物館！！！！！
@Bigshunsu7 @c_RADEST_1027  1UPですね👏
RT @yetmixi: 山内先輩ハピバ！！💖 ギャグセン高くておバカで大樹くん大好きな山内先輩大好き！ また遊びたいです💩 https://t.co/d5Xq9OUPGD
@yetmixi ねえ@してや(笑)(笑)(笑)ありがとう😻❤❤
最近暇極めてる(笑)
ほんとに世界で一番暇な自信ある😹😹
@96sg___ いやもう悲しいくらい暇みんな何やってるの！！！！
@96sg___ 忙しくなりたい欲(笑)(笑)仕事ください。
@96sg___ 今まで何して生活してたのか忘れたほんと(笑)(笑)(笑)
@ZWoOcywYmB7vu99 2枚目のさき鬼かわいい！！！！ど真中でなにしてんねん！！！！！
@ryoka_srmn_  りょうかちゃんお誕生日おめでとう🎉❤いつも挨拶してくれて嬉しい～！！良い１年にしてね😃
死んだお昼持ってくんの忘れたはきそう
今起床したため不規則な生活の幕開け
@megu24680  moriさんって誰爆笑
@aina20950 らーめん！！！予定聞きにいく！！
@__PeachO7  今の時間はこんにちは👋
@CaramelSong_nk   こちらこそありがとう✨ 春からよろしくね😻
@CaramelSong_nk  そうだよ～ん👌なんでも聞いてね(笑)
@CaramelSong_nk  うんうん👌なゆちゃんダンスやってるの？
明日から楽しみたくさんだから前髪切ったら失敗した死んだ笑えない
@mai__tk0920 明日から友達に笑われる日々だしんど💩
@yoshnn これわたしでも泣きそう😢いやよゆうでなく
@a_i_k_a__317 あいかお誕生日おめでとう～😻⚡いつも何かわからないけどとりあえずありがとうを伝えたい(笑)いつもありがとう😇いい1年にしろよ！！！
@rinrinchampon りんなお誕生日おめでとう😈🎉いつも暴力的だけどうるさいけど嫌いじゃないよ(笑)二次元の玉の輿とお幸せに👑
@megu24680 いやうるさ(笑)
@arisa0321yoshid きちだおたおめれーしょん😻🌼アイドルの卵としてわたしを育ててください。良い1年にしてね👊👊
@EI5CeVeLXTegUFq  ひなこ先輩お誕生日おめでとうございます🎉🎉同じ22日なので先輩のお誕生日はたぶん一生忘れません(笑)良い1年にしてください😆❤
ダッフィーの新しいお友だちかわいい
@ZWoOcywYmB7vu99 かわいいかわいいステラルー❤❤
冷たい風まじでえぐい嫌い
@saaaaee413 しんどいwwwwww
@saaaaee413 特大ビックチョコケーキ笑った(笑)わたし的にネクタイめっちゃ気になる細くね？
@h0i4n1a1 わたしも見た！！えぐかわいいよね😻😻😻
@h0i4n1a1 美人！！幸せ！！ラッキーだよね！！
宇野くんがすごすぎてすごすぎてとりあえず泣ける好き
@__taiki1211 ひたすら楽しみ( ；∀；)
@__taiki1211 めいちゃんいついくの！！！
@__taiki1211 そっかぁ～会いたかったぁ会いたかったぁ会いたかったぁyes！！！！！
RT @c_RADEST_1027: いつになったら死ぬんだろう https://t.co/UdgU7fTVYA
はぁ今からもうLJKだぁ😿ラスト1年楽しみます。。。
@dehndehn1003 ん？？かえでちゃんどうしたの？？？わたし、来年留学するから今年最後なの～😿👋
@Ooo___ui 完璧な低脳マンwwww
@Ooo___ui そうだよ😁わたし頭弱いよ👋(エイプリルフール)＝(ほんとは天才)
RT @Hna98403434H: 部活行ったら山内あやか先輩に騙されて、かのん先輩に騙されて、かのにも騙された。みんなエイプリルフール満喫してる。
わたくしの地味な嘘の被害に遭われた皆さまに、心より深くお詫び申し上げます。
いやこれ羽生さすがになく綺麗すぎる
宇野くん怖いがんばれ
泣いた3サルコウのあとあたりから笑顔がもう可愛くてしんどい
ほんと宇野くんにひとつ言うなら唇をしっかり保湿してください
@dehndehn1003 今日はそうでもなかった(笑)(笑)(笑)
@shuto19soccer 待ってわらったwwww
今まで1度も目が覚めなかったってことは、睡眠にかなりの集中力を使ってたってことですかね？
RT @rusted_armors: ◆「錆色のアーマ」2017年6月誕生！！◆ 待望の全員ビジュアル解禁。 #錆色のアーマ https://t.co/kzrtIWMZPv https://t.co/441o6sNUUi
@dehndehn1003 心が震えてる感じ？
今日の占い10位だよ？友達の冷たい態度に困惑って不安要素しかない泣いた
@rad75yn  あやのちゅわんお誕生日おめでとう😻かわいいかわいいあやのちゅわん大好きだよ！！！高２ではもっと仲良くなろうね😊❤
RT @001129_tomo: 2年6組✨ 全然喋ったことない人ばっかで正直心配ですー話しかけてくれると嬉しいー😭  1年間よろしくーーー👍
@_64th もっとやってほしいよね💧まだ、1公演も入れてないの泣いた😿
RT @hirunaka_movie: 大ヒット御礼舞台挨拶 @ TOHOシネマズ渋谷① #永野芽郁 #三浦翔平 #白濱亜嵐 #ひるなかの流星 #大ヒット上映中 https://t.co/j1QwNHekDE
@_64th とりあえず、大樹くん舞台あるからしょうがないのかな～？😕続きあるって信じよう～～
@KOBA0408  こばお誕生日おめでとう！！！！お元気ですか！！！！良い１年にしてね👏
@hockey0409  ベストオブ良い匂いを受賞した遊戯くんお誕生日おめでとう！！松葉杖と仲良くね！！！
@hockey0409 変人みたいな扱いすんな(笑)
RT @McDonaldsJapan: 歴代No.1復刻記念！ #マックフルーリーランキングクイズ 、ノミネートNo.1はふわふわスポンジがたまらない #マックフルーリーストロベリーショートケーキ 😋🍰✨！正解だと思ったらRTしてね🎉！ https://t.co/xaDPWD6…
@hockey0409 変人と見せかけて天才
髪の毛結ぶゴム1本も持ってこなくて末期おわった
@aina20950 え！まじで！かして！ほしい！
さっきまで二時間くらい寝てたことが許せなくて泣いた
@3jsb04yui10  みすみたんおめ！らぶ！！
@h0i4n1a1  ひなお誕生日おめでとう🙌❤ 何気よく会う気がする～～ひなとの写真探したけど、見当たらなかったから今度写真とろう😚😚😚大好き！！！！！
これから勉強するのにすでに眠い
@asukafs0412  あすかお誕生日おめでとう～🙌❤オリエンではじめて話したのすごく印象残ってる(笑)まさか同じクラスになるとはね！！！！！これから1年間よろしくねぇえええええええええええ😚華のセブンティーンLDHに埋もれようね！！！！！！！
@ROCK_WELL__  辰巳お誕生日おめでとう～🎈また、みんなで遊ぼうね！！良い１年にしてね
@moritakedayo1  もりたけお誕生日おめでとう🐰❤クラス隣だからよりいっそう仲良くなれるね！！！！！陸部のマネージャーだけじゃなくてわたしのマネージャーもしてね！！！！！大好き！！！良い１年にしてね～🎈
@saaaaee413  さえお誕生日おめでとう～❤まじポジションのイメージ強すぎて(笑)はやく会いたいなぁああああ！！！今年こそは会えるといいな😆サノレオと幸せな1年をお過ごしください👏
え、にちかちゃんとかあいきちゃんとかりりちゃんいた？(笑)(笑)(笑)
@Nikkkko_41730  にちかちゃんお誕生日おめでとう😆❤にちかちゃんの笑顔可愛くて好きです！！！良い一年にしてね🌼
@shota20000418 えんしょうお誕生日おめでたかったね👏誰からも愛されるえんしょう素敵！！！良い1年にしようね！！！
@aina20950 みゆうとのりかとラーメンンンン行こうよ
@aina20950 @0107__miyu 高橋さんは彩ちゃんに会えなくてかわいそうだから、一文字ちがいの彩花ちゃんで我慢してもらおう💧
@autumn47940726 待って6組の宮田くん？(笑)違う人？
@autumn47940726 普通に驚いたwwwww
@Skrn_ny お誕生日おめでとう😻⚡桃子のことをよろしくね(笑)さくらちゃんにとって良い１年になりますように✨
@saaaaee413 待ってそれ何事しんどすぎやろ
@_39mmc_ そんなのわかってるよう心配だよういいねありがとう💩
@saaaaee413 まじ？ちょっとジェネ高きつすぎやろさえほんとそれだわダンサー😿
宇野くんのフリー大好き早くみたいいいいいいいいいい
@riri_140424   りさほちゃんお誕生日おめでとう～❤とてもしっかりもののイメージ！！！(笑)良い１年にしてね🙌
チーズフォンデュ食べたい気分
@0084sone 見たすぎる(笑)
@0084sone 写真送れよ！！！！
@rei_0428srxx  れいれいお誕生日おめでとう！！！地味にお世話になってますいつもありがとう🌹圧倒的ヲタクすぎるれいれいだけど、最近イケ化がとまらないれいれい本当にかわいい😆❤これからも、彩ちゃんのレポ楽しみにしてるね🙌また、遊ぼう！！！大好き！！！！！！！！！！！！！
ポテト1年分がいい #ナゲッツ親子
待ち合わせに遅れるからみんなにお詫びとしてナゲットあげたい #ナゲッツ親子
マック大好きだから！！！ #ナゲッツ親子
将来マックの株買うから！！ #ナゲッツ親子
マック嫌いや！！！ #ナゲッツ親子
@tisanrzzy ねえチサ前髪パッツン可愛いアイコン推し😻
@tisanrzzy お世辞だなんて👋お前にわざわざ嘘つく必要なんかないねん
ブルーライン新車両乗ったけど暑すぎてキレそう
RT @rusted_armors: 【錆色のアーマ】歌稽古が開始いたしました！本日は雑賀衆の皆さまです。 初めましてと挨拶から始まりましたがもうチーム力抜群です！楽しい雰囲気で歌稽古が進みました。元気一杯の雑賀衆を是非劇場に観に来てください！ https://t.co/f9P…
ゆーちゃそ王子(笑)(笑)(笑)
まって石原さとみもう30歳なの！？
@i_am_keito 山Pしか覚えてない(笑)いい感じの年の差ですね👍
@i_am_keito そろそろ結婚だね💒(殺される)
@i_am_keito スクショさせていただきました。警察に届け出そうと思います。
@rq0u5  太田垣お誕生日おめでとう🌹❤気づけば初めて会ったあの日から私たちはもう高校2年生になったのね(笑)クラス同じなのもきっと運命だから、今度遊びにいこう👯☝たくさんお話ししよう⚡お弁当食べよう🍣1年かけて美容師さんに言われた通りに前髪伸ばしていこうと思います！！！！！
@kk0014053632 まって笑ったセクシーゾーンでしょwwwwww
@kk0014053632 いや～誤字のセンスありすぎwwww
@Kirari_0908k わざわざありがとう～😻きらりちゃん可愛いから勝手に知ってます(笑)こちらこそよろしくね～
@riiiiin_flower 泣いた泣いた泣いた～😹あれはやっぱ現場行かないとアカンやつだよね🙌
RT @rusted_armors: 気合い十分！！栩原さん、章平さん、佐藤さんの3ショット。本日も稽古張り切っていきましょう！ https://t.co/Xwb2846R3j
@tochiyuki0511 橡木くんお誕生日おめでとう～👏いい1年にしてね！！
数Aの範囲わかんなくてやる気失せた
違う！数Bだわ
@aina20950 ほんといつもありがとう神😂👏
@ryusukebas イケてるメンズな松本くんお誕生日おめでとう👏素敵な1年にしてくださいませ(笑)
RT @rusted_armors: 休憩中の一コマ。 永田さんが佐藤さんを見て驚いています。佐藤さん、目が…！ 劇場で是非確認してください。 https://t.co/McPF0c7Hjw
@kosuke51303 お誕生日おめでとう～🎉試合おつかれ！！明日も頑張れ💥👊😃
RT @rusted_armors: ◆孫一(まごいち)◆・・・佐藤大樹 (EXILE/FANTASTICS) 異国の血を引く、青き目をした山の衆。戦いの天才。 その才で傭兵集団 雑賀衆を率い、姉の仇である信長を狙う。 よく笑い、よく怒り、よく泣く感情型。本来は穏やかな暮らしを…
@riri_na_oO りりなちゃんお誕生日おめでとう🌹❤りりなちゃんのダンス大好きです！！！素敵な1年になりますように💍✨
RT @modelpress: LDH「VOCAL BATTLE AUDITION」4年ぶり開催決定 EXILE新ユニットのボーカリスト探す #VOCALBATTLEAUDITION #FANTASTICS  https://t.co/rZU9aJASiq https://t.…
@tisazzy ちょっとちょっとちさちゃぁん😇ベットのせいにしてない？ダメウーマン！！！！！
@tisazzy 山内は絶賛テスト期間前なんだよ！！！！！😃
@yetmixi お誕生日おめでとう😻❤自慢の後輩通り越してベストフレンドだよ君は！！！！大好きだよ🐰またみんなで遊ぼう
RT @rusted_armors: 真剣な表情で台本を読み返している、孫一役の佐藤さんをパシャリ！ https://t.co/ggpExw9owV
勉強できないうつ病だよこれ
RT @Deview_staff: 『Deview／デビュー』今週のレコメンドには、「錆色のアーマ」で舞台初主演を務める佐藤大樹くん（EXILE／FANTASTICS）が登場！意気込みなどの熱い想いを語ってくれました！ https://t.co/4A6MNQ9D5Z #佐藤大樹…
