RT @m17GD: わああああ！！タバコを吸いながら出てきたじよんさんにキュン死😭😭😭💓、、チラチラ見てくれる目線もやばいです！！ cr.lauttiga https://t.co/EHeewUOq2J
@______sy13  あかりんお誕生日おめでとう😳💓
. Mar.13 12hr.JK💼💄 . https://t.co/AH5ojDxVf6
RT @miho_s_0807: 充実した1日でした😝 ありがとぅ😳🌸 たくさん食べましたね🐷 クラス離れても遊びましょ😘 https://t.co/hTLK1hG91K
RT @_LDH0312: 久しぶりのJK🌷 すごい楽しかった☺💕 https://t.co/YUQt2Z5RnA
@muroyu0510  あたしも嬉しかった〜😍💓💓 ないない！今日一段とブス😩😩 ゆうかちゃん可愛かった😳😳❣️
RT @___ohayo______: #170313  お好み焼きからのお寿司❣️ クラス離れたくない(；_；) https://t.co/FpS6I9J4Vw
RT @pashattotto: かわいすぎる😆 https://t.co/AM4i2tHFvl
@muroyu0510  ほんとにないよ( ；∀；) めちゃくちゃタイプ🤤❣️❣️❣️❣️
@323_akane  おめでとうございます🎊❣️❣️❣️
Whiteday❄️💓 チーズケーキ作ってくれる予定がオーブン無くてできなくてもう作れないって言われてぷんすかしてたらほんとはお家作ってくれた🏠🤣❣️❣️ もう作ってるところ想像するだけで 可愛すぎてにやける🤤❤️ ありがとう😍🤤… https://t.co/HyVDOJ77jI
RT @bb___87: . Mar.13 12hr.JK💼💄 . https://t.co/AH5ojDxVf6
小さい時のしょーくんが可愛すぎて食べちゃいたいくらい(/ _ ; )
@PEco____2R  おめでとう😆❣️
@PEco____2R  えー！！ほんとー！？！話したかったー！😢😢😢😢😢❤️
@komayann0608  わー！みーくん受かったのね！おめでとう🎉
@PEco____2R  あたしきょうかじゃないよ〜！🤣🤣🤣 きょうだけだよ🤣🤣🤣❣️
@PEco____2R  全然大丈夫〜！🤣🤣 さえに言われるまで気付かなかったしよく言われるし〜🤣🤣🤣
RT @Maiya_228: 笑ってくれなんて無理な事言ったくせに 別れた今でも私を抱き寄せた 貴方と私はまだ子供なんだ 背伸びしすぎて足が疲れたら また貴方の所に帰っていいかな そしたらまた歌って私が好きな歌  ちゃんみな最高すぎ😢  https://t.co/KT9DIuI…
@PEco____2R @_____nemui____  さえはうるさい🤣 いえいえ😆
RT @m17GD: 僕にとって最後のツアーなので意義深く、皆さんに沢山の気持ちを伝えようと思いました。皆さんの心の奥に残る思い出を作れたと思います。希望を込めたDVDをご覧になりながら僕とメンバー、そしてBIGBANGと共に思い出をもう一度呼び起こす美しい時間になればと思いま…
@Ayaho0614  がいあやほ  おめでとう😍😽😽😽😽😽❤️
@___hi_ragi___ おめでとう😍
@Ringo_Lpanda  りんちゃん😽❣️ お誕生日おめでとう😆💕 いい一年にしてね❣️❣️
@___hi_ragi___  いえいえ😍❤️
RT @naenano78: 自分の好きなアーティストの良さは いろんな人に話したいけど ファンが増えたらそれはそれでイヤ
@_LDH0312 ホントダカラコンダ😳❣️
@_LDH0312 え、え、えお大事に😩🙌
@makun__27  なおー😆🙌 お誕生日おめでとう🤗❤️ 最近全然会ってない😭また会ったら話そうね😍いい一年にしてね😳💓
③USJペアチケット 当りますように😻😻😻 https://t.co/jCeOidr9yF
@_____nemui____  さえのパクルゥー💩💩
@_____na312  お誕生日おめでとう😻💓💓
@makun__27  あたしは美人ななおに会いたい（＾ω＾） いやんありがとう🤝🙈❣️ いえいえ😍
@_____nemui____ それな
@_____nemui____ わたしのことね
@_____nemui____ ひびおといこう
@HANDBALLyuta1  ゆうたお誕生日おめでとう😆🎂
@yrn__320  ぺっぺおめでとう😳❣️❣️ お目目くりくり可愛くていうも褒めてくれて部活の後お話楽しいペッペが大好き❣️❣️😻😻 コータともお幸せに😳💓 いい一年にしてね😘😘😘
@__na_mi_ki__  なみきちゃんお誕生日おめでとう😳💓シャランよろしくね！🤣💓 ダンスもがんばれ😻✌️✌️
RT @miyameko_: 一回目の浮気は許したけど二回目はさすがに許せなかったんで彼の歯ブラシで洗面台磨きまくってトイレの水溜まってるとこで歯ブラシ洗ってそのまま戻しました死ね
@s______321  サラおたおめ🎂💓💓 小1からのズッ友😘www 詳しくはLINEへ✌️✌️✌️✌️✌️✌️✌️
@Oo321xX_  ことえさんお誕生日おめでとうございます😻❤️❤️ ショート可愛いです似合ってて羨ましいです😖🤤💭💓 いい一年にしてください😳🎈
RT @singerCONAN: 忘れようと思っても 忘れられへんなら とことん覚えておけばいい  大好きやったことも つらい思いしたことも 全部覚えておけばいい  でも時間が経てばわかるよ  覚えておくことって こんな難しいんやなって。
@Oo321xX_  そんなことないです😱💦 ありがとうございます（；＿；） 嬉しすぎます🤤😻😻❣️
@cave23nn  こーよーお誕生日おめでとう🎂✌️ たまに会うね！🤣 いい一年にしてね✌️✌️✌️
@mimio05  みおちゃんお誕生日おめでとう🎂😻❤️
@_____na312  いえいえ😘😘
@yrn__320  ええええ🤤🤤🤤🤤 うん幸せにしてもらいます😳💓 来年もよろしく😘😘
RT @kor_celebrities: EXID、画報公開。雑誌「ARENA」。 「EXID」のまとめLIVE： https://t.co/uVzT8Hh9PO https://t.co/FVF1HaL7Hk
RT @pucipuri_mall: プチプリから赤字覚悟の😱プレゼント‼︎🎁💕💕  #ジルスチュアート の大人気コスメ詰め合わせ💄👑16000円分を10名にあげちゃうんだからっ!!😍💓  今すぐプチプリフォロー&amp;このツイートをRT😘応募はこちら👇💕 https://t.co/…
@hatayuta1124  何その顔キモチワルイですね∧( 'Θ' )∧
RT @m17GD: ペンラを振ることも忘れて5人を見続けた LAST DANCE。 一緒に歌うことより5人の歌声に耳を傾けた LAST DANCE。  🔝ひとりになって 俺は 淋しそうに見えるの？ なぜこんなに涙が出るんだろう  この字幕出たときはやばかったなあ。 https…
@cheer3231  ゆいちゃ〜ん！お誕生日おめでとう🎂🎈🎈❣️ またどこかで会ったら話そうね🤤😻❤️
@shii_____84  ひろちょ〜 熱下がったらちゃんと祝わう😷 一応おめでとう✌️😻😻
@LDH___aaam  お誕生日おめでとうございます😘❣️
@323_akane  あかねさんお誕生日おめでとうございます🎂🤤❣️ いい一年にしてください😆❤️ お幸せに、、、💏💏💓💓💓
@boxing0324  お誕生日おめでとうございます！🎂
@323_akane  いえいえ🤤❣️ ありがとうございます😍😍
@LDH___aaam いえいえ😳🎈
RT @movieismovies: 【君の膵臓を食べたい】 [出演者] 浜辺美波/北村匠海/大友花恋/矢本優馬/桜田通/森下大地/上地雄輔/北川景子/小栗旬 [監督] 月川翔 [脚本] 吉田智子 [音楽] 松谷卓 https://t.co/Xhs1SyeI4O
@_kwyk おめでとう🤤🤤🤤
@ogrkn0326  かっかさんお誕生日おめでとうございます😻❣️ いい一年にしてください🎈🎈 すーさんともお幸せに❤️😍😍
RT @Dontaag: まさか……iKON✕小藪さんがコラボする日が来るとは思ってなかった😂 TGC万歳！！！！！😂👏💘 #小藪さんノリノリワロタ https://t.co/nn9OswEIo2
RT @_____rr02: ニンテンドースイッチめっちゃ楽しいﾟ(ﾟ'ω'゜)ﾟ❤︎
@n_7_g_8  ななこさんお誕生日おめでとうございます🐰❣️ 体育祭の時びっべんのタオルで仲良くなれてよかったです〜！😭😭❤️❤️ いい一年にしてください🎈🎈
Pink Party💒🎀💄 https://t.co/pp2K9al37W
RT @_____rr02: 🍓💓ｐｉｎｋ ｐａｒｔｙ💓🍓 https://t.co/lT9AM735yc
RT @___ohayo______: 💕🏩ＰＩＮＫＰＡＲＴＹ🦄💕 https://t.co/kkD1OW51Xq
@n_7_g_8  ですね🤣🤣🤣 あたしもすごく嬉しかったです😍😍❣️ 待ってます🤞😿💕 今度Liveとかで会えたら嬉しいです💓💓
@n_7_g_8  ペンミ東京平日で部活あって行けませんンンンン😭😭😭😭😭ほんとショックです😭
@3JSB_sakura39  さくら😍❣️❣️ ハッピーバースデー😆💖🌷
@amusutaa23 まいまいおめでとう😆💕💕
ラーメン屋さんで1人でサッカー見ながら食べてるたのしい（＾ω＾）
びっべんヤバイって〜😿😿 泣いタァ〜❣️❣️❣️
@amusutaa23 いえいえ😆 ありがと🤤❣️
@3JSB_sakura39 いえいえ😍😍💓
明日は部活終わったら ひるなか見に行く〜🌟🌟
@B__G__B__G  ももなちゃんお誕生日おめでとう😍❣️かわいい😭💖💖 いい一年にしてね🤤❣️
@poyo_37ry  お誕生日おめでとうございます😆❤️
@B__G__B__G いえいえ😆💖 いやいや、、。ほんとめっそうもないです😭🙇🤢💘
@poyo_37ry いえいえ😻
@spongebob_0330  まいかさん お誕生日おめでとうございます😻❣️❣️ いつも楽しく話してくれてありがとうございます😆❣️またお話ししてください😚✌️💓
RT @__taexiu_cy_Bam: 🌷ソンムル企画第七弾🌷  こちらのクリームも肌に合わなかったのでソンムルにします。 ピンクのウユクリーム？って呼ばれてるものです ２枚目読んでから参加お願いします🌺  #ソンムル企画 https://t.co/na1yYeCn5q
@__taexiu_cy_Bam インスタフォロー済みです！
@ayari0105 あやりんオメデト🤤❤️
@k_miii082 オメデト❣️❣️❣️ 最後あたしがとったやつぅ😍❣️❣️
@s36_00  せらちゃんお誕生日おめでとう🤤❤️
滑舌わるいの治したい🤣🤣🤣
@ai25mm74zo 🤣🤣🤣🤣🤣🤣 たなさやに言われたら安心するわ🤣🤣🤣
. Mar.28,30👠 shopping👜と映画🎬 久しぶりに外出た❣️ひるなか面白かった🎞❣️運転お疲れ様です🚲❣️ . https://t.co/grSgzLbxEg
@ai25mm74zo  そーなの？！口は大きいからこれ以上あかん🤣🤣🤣🤣たなさやの声聞きたい🤢
RT @Kstyle_news: BIGBANGのG-DRAGON、ソロコンサートの開催について事務所がコメント「詳細は確定次第発表する」 https://t.co/JVn0RkwPgk
@sekikai0401  お誕生日おめでとうございまーす🤣🎂
いいなーいいなー 家族みんなでLEGOランド行ってる🤢
@sekikai0401  いえいえ！ 頑張ります😆✌️ たまには来てくださいね〜🤣🤣
RT @abarerukun: 私は今、静岡県にいます‼︎ https://t.co/lGUIaN1dGD
RT @bb___87: 熱海の花火大会🎇 今年も行きたい😳🤤💓 https://t.co/e0T1l69GXV
@yrn__320  ぺぺおめでとう❣️❤️❤️❤️
増田先生に「頑張ったな。これからも頑張れよ。」って握手してくれてこの1年無駄じゃなかったって思えて嬉しかった〜（；＿；）🤝
ヨンベのソロコン申し込もう✊️ テソンのソロコンとペンミ諦めたからそろそろ死ぬううぅぅ🤢🤢🤢
@riko_funfun43  りこ❣️❣️ お誕生日おめでとう🎂🎈 春からJK楽しんでね❣️😳😳😳
@mimiki_0403  みーみ😆❣️ お誕生日おめでとう🎂✊️🎈 また会いたい🤤🤤 いい一年にしてね✊️💫💕💕
#honeymihoney #cute #tokyo #fff https://t.co/56nvJ3j11D
#パンケーキ #🥞#🍴 https://t.co/XHx5WQgVjm
RT @_____nemui____: 💒🌿 PINK PARTY 🌿💒 https://t.co/f82a2nvrKT
@bake_0004  増田さんお誕生日おめでとう😳❣️❣️ また会ったら話そうね✊️❤️サカマネも頑張ろ😆👍👍
🖇❤️9months. この1ヶ月は喧嘩ばかりで沢山傷つけて心配させてばっかりだった🤦‍♀️ だから、ごめんねとありがとうの気持ちを込めて作ったよ🌹🎬 もうすぐ出逢って一年だね🌿❣️ https://t.co/xHLggDPwlm
@0620___maho まほちゃんありがとう😢❤️
@muroyu0510  ゆうかちゃんありがとう❣️ 横浜の写真可愛かった〜🤤😳
@Ayaho0614  あにほありがとう😳❤️ ええええ🤣🤣🤣いつもそう言ってくれて嬉しい☺️☺️☺️☺️
@yrn__320  ええぺっぺありがとう😳❤️❣️ 嬉しや〜🤤🤤🤤🤤
@S_12609 すずはちゃんありがとう😆 この前あえて嬉しかった❣️😳
@hhii_aa_ ありがとうううう（；＿；） え！逆にありがとうって感じです🤣🤣❤️
@sfvW1I7dgJbgdRb  みゆちゃんありがとう🤤❤️
@_kwyk ななみんありがとう😳❣️❣️
@masanao2840 まーくんありがとう😆😆😆
@n_aaa_tk なっちゃんお誕生日おめでとう🎊🎂🎈
@_M_0204 みくちゃんありがとう❣️ 昨日のみくちゃん可愛すぎた❣️❣️❣️❣️😳
@MinwooChi  ありがとう🤤❣️RTもありがとう😭❤️
@mj_____617  モロちゃんありがとう🤣❣️（勝手に呼んでみた🤣）イヤイヤこちらのセリフです💁
@yuuka00135 ゆうちゃんありがとう🤤❤️RTもありがとう😭❣️来年絶対同じクラスになりたい！！笑
@mj_____617  いや嬉しすぎだよありがと😭❣️ じゃあ、モロちゃんって呼ぶ〜🤣🤣🤣
@___hi_ragi___ ひいらぎありがと😘😘😘
@ainosuke213 あいのすけちゃんありがとう😍😍
@miho_s_0807  ちえこありがと😉😉😉💔
@sr__ks__53  しゅりちゃんありがとう😳❣️ いやしゅりちゃんのセンスがやばい！ めっちゃ可愛い😍😍ありがとう🤢🤢❣️
@n_aaa_tk いえいえ🤣❣️
@Nana02064  ななありがとー！！😍😍😍😍
@n_aaa_tk なっちゃんありがとう😊❣️
@amusutaa23 まいまいありがとう😳❤️ ですね！頑張ります😘😘
@0224UVERworld ひなこちゃんありがとう😍😍
@mai__0123 いやいや、、（；＿；） ありがとう🙇‍♀️😭❣️❣️
@__mtmm__56 まりなちゃんありがと🤤❤️
@__gon_chisa__to  ええありがとう😭😭😭 ごんごんのはキュンキュンした🤣❣️ おめでとう😆❤️
@ayari0105 あやりんありがとう☺️❣️🤣
@s______321  たっさんありがとう😘❤️ いええええい🤤❣️🤣🤣🤣
@riko_funfun43  リコありがとう❣️❣️ 頑張ります✊️😳❣️
@___mh1212  ありがとう😭❣️❣️
@3J8CuuPztuLRi1y  ありがとう😭❣️❣️
@kkkannni17__ もえちゃんありがとう😆✊️❣️
@hshiori64  しおりんありがとう🤣🤣❤️❤️ これからしおりんでいかせてもらいます😍😉
@Ruka_58  るかちゃんありがとう😍❤️❤️ 春からJK楽しんでね✊️🤤❣️
@_minyaaaaaa @yuit_37  ありぴありぴ😆❣️❣️
@_____rr02 @hnk___29  リカちゃんありがとう🤢🤢🤢🤢
@s4alx_gr  りこちゃんおめでとう🤤🤤❣️24でも早く集まりたいね😆😆🤤
@ngpt_10  いやいや🙇‍♀️なるみちゃんありがとう😭🤤❣️❣️
@Hi__k74__ ひかるちゃんありがとう😍😍
@katoyaya1222 ややありがと❣️ ややも😘😘😘😘😘
@Yk_0908dr ゆいちゃんありがとう😆😆❣️❣️
@kaho0823062575 ありがとう😭❤️❤️
@Ayaho0614  楽しみにしててください😍😍
@S_12609  会いましょ〜☺️❤️ また声かけるね👍👍
@hhii_aa_  ありがとうございました🤤🤤❣️
@yuuka00135  ええええ照れます😳😳❤️ いえええい😆😆😆💫
@_M_0204  いやいやいや😭😭😭 ありがとう😳❤️❤️
@muroyu0510 ほんとです😍😍
@s4alx_gr いえいえ！ んね！😳ありがと😍😍
@hnk___29 ほのかちゃんありがとう😳❣️この前会ったね！
@m_hiny__ ひなたちゃんありがとう😆❤️ 嬉しいです🙇‍♀️🙇‍♀️🙇‍♀️
@_kwyk えええ嬉しいですほんと🤣🤣❤️
@katoyaya1222 いえいえ😉😉
@n_aaa_tk ありがとう😭❣️
@__Nhuuuuu__ ありがとう😊❣️
@Hi__k74__ いやいや！😱全然だよありがとう🤣🤣
@love0414_miku  みくちゃんありがとう😭🙇‍♀️❤️ 嬉しいです🤤🤤
@bake_0004 いえいえ！細いは余計🤢🤢 可愛い話、、探しときます🤢❤️
@sr__ks__53  えええありがとう😳❤️ ほんとだよ〜😆😆❣️❣️❣️💫
@hnk___29 覚えてるよ〜！🤣🤣 逆にわかってくれてありがとう😆❤️
@Hi__k74__ ありがとう😳❤️❤️
@mj_____617  いやいや、、リコとのプリ劇劇劇可愛い😍
@baby___0105 ちえちゃんありがとう😳❣️❣️❣️
@__gon_chisa__to いえいえ💫🤤❣️
@_nana_heart_ ななちゃん！ ありがとう😭❣️最近ずっとかわいいって思ってて気になってた〜😍😍❤️ ほんと可愛すぎ😆😆
@rrtw66  にとみゆさんありがとうございます🙇‍♀️❤️❤️いやほんとにそれはないです！にとみゆさんふわふわしてて可愛くて羨ましいです😳❣️❣️
@____ika_91____  ありがとう❣️🤤 ほんと？！🤣🤣コンタクトしてなくていつも見えてないからわかんない😭😭😭ごめんね🙇‍♀️今度見たら声かけます！😆❤️
@akm9014shirayuk いやこちらのセリフです😭❣️三南美女軍団ほんとに可愛すぎてやばいです🤤🤤🤤❣️羨ましすぎ😳😳
@bake_0004 ありがとうございます😭😭😭待っててくださいね😍
@love0414_miku ありがとう😘😘
@hshiori64 しおりんもきょうって呼んで😍😍
@_nana_heart_  いやいやほんと😳❣️ ありがとうございます🙇‍♀️❤️❤️嬉しい🤤❣️
@u_u15rn  れなちゃん嬉しいありがとう😭❣️
@m_o_e_423 ありがとう😱❤️だね！笑 なんか久しぶりに2人にあって緊張した！🤣
@kanayan_0510 かなちゃんありがとう🙇‍♀️❤️
@mj_____617  いやいや！笑 嬉しすぎ！あれ3時くらいまで頑張った🤣🤣
@kannasmile0331 初めまして！😳 いやいや！フォローありがとうございます❣️❣️ありがとうございます😆😆💕
@HukuNatsuki なつきちゃんありがとう😭❣️❣️❣️❣️
@m_o_e_423  恥ずかしい😳😳😳笑
@______sy13 あかりんありがとう😆💕💕
@aya_kikiange あやこさんありがとうございます😍😍😍❣️
@iam__kanako  かなこちゃんお誕生日おめでとう🎂❣️
@____ika_91____ そー🤣🤣 ありがとう🤤🤤🤤❣️
@akm9014shirayuk  いずそうとは比べ物にならない🤢🤢 ありがとう❣️😍
@iam__kanako いえいえ😆❣️ ええ、恥ずかしい😳😳 こちらこそありがとう🤤💕💕
@yuki__0301__n  ゆきのちゃんありがとう🤤❤️❤️ 嬉しい😳😳ゆきのちゃんの加工のセンスがめっちゃ好きであたしもいつも楽しみにしてる🤤😍
@rnan873 嬉しいです（；＿；） ありがとう😆❤️
@sr__ks__53 よろしく👍😘😘 3秒で準備します！🤣🤣
@ReikaIu  れいぽよちゃんお誕生日おめでとう🦄🌹🌸
RT @m17GD: じよコン来たあああ！！行きたいいい！！♡ https://t.co/l7DKj7siUB
@Kakechan__0405  おめでとうございまーす😆😆😆
. Apr.O3🦄 春休み1日OFFで東京行ってきた🗼🚗 笑って食べて苦しくなってハプニングばっかですごく楽しすぎた💒🎀🎟 占い人生初‼️🔮緊張した💔 . https://t.co/ig7gd8IBBg
RT @bb___87: 🖇❤️9months. この1ヶ月は喧嘩ばかりで沢山傷つけて心配させてばっかりだった🤦‍♀️ だから、ごめんねとありがとうの気持ちを込めて作ったよ🌹🎬 もうすぐ出逢って一年だね🌿❣️ https://t.co/xHLggDPwlm
RT @_____nemui____: 🖇 Apr , O3 原宿と新大久保🌸 食費に金をかけた💸💸💸 （リカコはPBL出席のため不在） https://t.co/PAm9XtaLlb
RT @___ohayo______: #170403  原宿としのくぼ〜！♡ りかこはPBLで不在(;_;) https://t.co/fimmCbo8xX
@fieldmeisterha1  お誕生日おめでとう〜🎂👏 サッカー頑張ろうね⚽️✊️ 赤点坊主今年は無いといいね🤣🤣🤣
@fieldmeisterha1 いえいえー！ うん！
RT @___ohayo______: 24、、(^-^)⊃⌒Ο
RT @bb___87: . Apr.O3🦄 春休み1日OFFで東京行ってきた🗼🚗 笑って食べて苦しくなってハプニングばっかですごく楽しすぎた💒🎀🎟 占い人生初‼️🔮緊張した💔 . https://t.co/ig7gd8IBBg
@m_o_e_423  もえちゃんおめでとう😍❤️ このまえあったね😆 これからもお幸せに🤤🤤❣️
@mj_____617  おめでとううううう🤤🤤❣️❣️
@YhHira  お誕生日おめでとうございます🎉🎂 しょーご先輩と遊んでやってください😩😩
@YhHira 寂しがってます、、、。笑 ありがとうございます😆
@konb_119 ら い ん
誰か自由選で静岡の歴史選んだ人いない？笑🤣🤣
@__ynk38 ゆうなちゃんおめでとう😍❤️
RT @Kstyle_news: BIGBANGのV.I、日本で花見を楽しむ姿が話題「今会えるよ」 https://t.co/VSv5WhgPd0
@sn__41  はなちゃんお誕生日おめでとう！❤️ スタイル良くて美人で年上に見える🤤 いい一年にしてね❣️😆😆
@Gaia829Gaia え！！？
RT @Gaia829Gaia: やったね海斗！！ おめでとう😍😆😆
@Gaia829Gaia きゃーー👏
絶対仲間とか友達が皆じゃなくて 違う人達だったら絶対辞めてたな〜 どんなに泣いても喚いても心配してくれて話聞いてくれて笑わせてくれて味方だよ頑張れって言ってくれてこんなにいい人違はいない😢🙏 ありがとうございます😭🙇‍♀️🙇‍♀️🙇‍♀️
@jasminarashi  りおちゃんお誕生日おめでとう🎂😻
@expeachex33  もえかさんお誕生日おめでとうございます❣️😍
@jasminarashi いえいえ！😆❤️
@NSBk7GOrX1uCbfd  じゅんちゃんハピバ🎂😆 まさかじゅんちゃんが昔近所に住んでてよく遊んでた子だとは思わなかったね！🤣🤣世間は狭いね🤣 これからも部活頑張ろう〜💪💪 ゴンゴンとお幸せに🤤🤤😍
@mmayu412  まゆちゃんお誕生日おめでとう😍❣️
@sn__41 ありありだよ😭🐜
@expeachex33 いえいえ😍
@NSBk7GOrX1uCbfd いえいえ！😆
@mmayu412 いえいえ😻 えええほんと？！そんなことないけどありがとう😭😭😭❣️❣️
@hhii_aa_ @NSBk7GOrX1uCbfd  あまねんしゅうおめでとう🤤❤️❤️ これからもお幸せに❣️
2年生の女子に聞いても皆仲良いから無理だよ全部耳に入ってくるよ😆
@kkkannni17__  もえちゃん！おめでとう😍❣️❣️❣️
@323_akane あかねさんおめでとうございます😍😍❣️❣️
@hhii_aa_ いえいえ🤤😏❣️
@Red_mnm04  まなみちゃんお誕生日おめでとう🌈🎂❣️
@323_akane  いえいえ😻😻
@kkkannni17__ いえいえ😻❣️
@kousei2000414  こーせーハピバ！！🎉 6月楽しみにしてるね😆✌️✌️
@yuuka00135  ゆうちゃん！！😻 おめでとう！やっぱり昨日いたのはゆうちゃん達だったのね🙀お幸せに😍😍
@_____rr02 英語117😘
@love0414_miku  みくちゃんお誕生日おめでとう😍❣️
@air___14  あいりちゃん お誕生日おめでとう😻🌈 いい一年にしてね✌️❤️❤️
@I_like_niku_ おめでとう🤤❣️
RT @konb_119: きょきょきょう💥 ずっと喋っててつかれたね(笑) これからもお幸せにね😘 https://t.co/8mtbQeObI7
@konb_119 まじでプリのもれなさ加減は死にたい🤦🏿‍♀️🤦🏿‍♀️🤦🏿‍♀️🤦🏿‍♀️
@oirn__24  さくら！！ハピバ！❤️❤️ 黒で統一されてて魔女っぽくて好き！（笑）かっこいい！また会ったら話そうね✌️✌️
@Red_mnm04  いえいえ😽❣️
@yuuka00135 気づいてました！笑 ありがとう🤤❤️
@air___14  ありがとう✊️❤️
@love0414_miku いえいえ😆😘
@I_like_niku_ いえいえ💞 ありがと😻❣️
@oirn__24 いえいえ🌈💃🏿うん！
@_____nemui____  え！ネックレス100きんなの？！わら
@abcdshooooya  しょーやくんお誕生日おめでとう〜🎂
@bb___87 この前の1人もやってないですすいません😭
@bb___87 @___ohayo______
RT @m17GD: じよちゃんの焦りすぎてる感じと照れすぎなところが可愛すぎて（笑）どんだけ女の子の裸に免疫ないの😂😂😂💕この回は絶対に永久保存版です｡･ﾟ(ﾟ⊃ω⊂ﾟ)ﾟ･｡ http://t.co/8B16St5dAo
@i_am_meia__0419 おめでとう😻😭
@runamero_0419  るなさん😭❤️ お誕生日おめでとうございます❣️❣️ いつもツイート楽しみにしてます🤤 ウエディングも素敵すぎました😵❤️
@i_am_meia__0419 いえいえ😻🥂
@runamero_0419 いえいえ😻❣️ 嬉しすぎます😭😭❤️ありがとうございます😻
え、まって、、 Twitterすごく使いにくい泣いた〜
女は付き合ってても男の前では上手くいってないって自分は可哀想だって嘘ついて女の前では嘘ついてでも上手くいってるって自慢をする生き物らしい
RT @Kstyle_news: 【PHOTO】東方神起 ユンホ、本日(20日)除隊…ファンに感謝の挨拶 https://t.co/ePG1LjmJSE https://t.co/Yw4j4r0Ck0
@_____rr02 遅刻したら一番前な（＾_＾）
@ayumusoccer_25  お誕生日おめでとうございます🎊
@ayumusoccer_25 はい。任せてください。
@toitoi0420  とーい先輩！お誕生日おめでとう！変人はほどほどにね！🤣
RT @sweetroad5: ４月２１日より順次、４月２８日より全国のミニストップにて、夏季限定スイーツ「ハロハロ」が３種類発売されます✨ https://t.co/cjnnqHuWmr
@tmoo220 とみた久しぶり〜！おめでとう〜😍❣️
@tmoo220 だよね🤣いえいえ〜ん😆❤️
@HayatakeD  お誕生日おめでとう🎉🙌
@HayatakeD いえいえ！
@ymk__21  ゆまさん！ お誕生日おめでとうございます😆❤️ いつもかわいくて癒されてます🐰❣️ いい一年にしてください😚❣️
ほんとにいずそうってクソだよ😃 絶対みんな来ないほうがいいよ😃😃 人生最大の選択ミスだわ😄😄😄
RT @_____rr02: 遠足ないんだからバスの中だけでも遠足気分にさせてくださいよ(´･_･`) いやーーーーー（ ;  ; ）泣いたァ
RT @_minyaaaaaa: しかもバスのいす逆にして最初は怒んなかったのに、れいちぇるきてから起こるブルドッグもムカつく
RT @_____nemui____: バスの中くらいケータイやってもいいでしょどんだけケータイ取りたいの？？？？(≧▽≦)
RT @_minyaaaaaa: バスの中でも携帯使えないのかよwww れいちぇるムカつくなんなのあの顔wwwiPodtouch持ってたから良かったけとほんとうざいwww
RT @___ohayo______: ♡ https://t.co/r0X0lbitM9
女子のメンバーが とても最高に楽しかった🌹🌿 https://t.co/lCD5v4rIGv
@masaya19990422  お誕生日おめでとうございます😆🎂
@masaya19990422 ありがとうございます😄🙇‍♀️
.@___hi_ragi___
RT @goldentae1230: 渋谷にTWICEいた！！！！ https://t.co/judR8NlzYn
RT @bb___87: 女子のメンバーが とても最高に楽しかった🌹🌿 https://t.co/lCD5v4rIGv
RT @Y85111689Y: たらしだった人が、 次々付き合ってた人が 1人の人によって 一途になった。 こんな風に誰かを変えれるほど 惚れさせて愛し愛されたい。
@m_o_e_423  もえちゃんお誕生日おめでとう🌸🌿 これからもお幸せに！いい一年に❣️
@AcnSt17  お誕生日おめでとうございます😆🎂 サッカー頑張ってください👊⚽️
@m_o_e_423 いえいえ☺️💓
RT @mezauranai: 6位 【おとめ座】 ストレスがたまりグッタリ。 読書やスポーツで気分転換。  --ラッキーポイント-- 『朝刊』
@AcnSt17 いえいえ😆 生意気ですいません😩😭
@AcnSt17 ほんとですか？！笑 これからもよろしくお願いしますー😋
@tcyd3BLQzUzqVRL おめでとう！
@Fukanju_24 杏樹さんおめでとうございます😆💓 野球マネ頑張ってください⚾️❣️
@tmoo220  とみたハピバ！😍🇺🇸 いい一年にしてね❣️最近しぼんできて悩んでるおつぱ、、😃😃😃
@Fukanju_24 いえいえ😻❣️ たまーに走ってます！笑 ありがとうございます😆😆🌹
@_kwyk おめでとう😆❣️❣️❣️
@KGmisa0426  お誕生日おめでとうございます🎂‼️ サッカー頑張ってください😆✊️
RT @goigoi_0826: メロンパン専門店行きたすぎる🍈🍞 https://t.co/vkEOon822T https://t.co/XUJw4cxAWR
@KGmisa0426 いえいえ！😆 責任持ってお預かりします。🤣 暇そうだから遊んであげてください〜🤣
可愛いwwww https://t.co/Q5R5smV6UR
結局10皿と5皿www
@ayari0105 おめでとう😆💓❣️
RT @__k_m82: また１からやり直します🤝 自分勝手でほんとにごめんなさい  心配してくれた人ありがとう🤤💖 https://t.co/hNQ87s4cwc
早く新しい服着てお出掛けしたい😊🌸
目覚ましでばんたん出てる🤤❤️ 今日はいい1日になりそうだ🤤❣️
@___ohayo______ ねえ今日部活中放送で呼ばれたんだけどwwwwwwwwずっとニコニコしててゴミ捨てないでよ〜って言われたwww
@tatsuya00141  大石先輩！お久しぶり🤓 お誕生日おめでとう😆🎂
・ 温泉に行きたい♨️ https://t.co/OaApk8nNnR
@tatsuya00141 いえいえ😆👍ありがとうがんばる✊️
